上市電零組,上市紡織,上市汽車,上市化學生醫,上市金融,上市鋼鐵,上市航運,上市電器電纜,上市水泥,上市油電燃氣,上市造紙,上市營建,上市數位雲端,上市生技醫療,上市資訊服務,上市塑膠,上市電腦週邊,上市觀光,上市化學,上市居家生活,上市電子通路,上市電機,上市通信網路,上市電子,上市貿易百貨,上市橡膠,上市上市其它電子,上市綠能環保,上市光電,上市食品,上市其他,上市半導體,上市海外上市,上市玻璃,上市運動休閒,上櫃運動休閒,上櫃鋼鐵,上櫃其它電子,上櫃電機,上櫃電子通路,上櫃半導體,上櫃化工,上櫃電零組,上櫃食品,上櫃光電,上櫃數位雲端,上櫃其他,上櫃航運,上櫃紡織,上櫃居家生活,上櫃油電燃氣,上櫃農業科技業,上櫃文創類,上櫃金融,上櫃電器電纜,上櫃資訊服務,上櫃電腦週邊,上櫃觀光,上櫃綠能環保,上櫃生技醫療,上櫃營建,上櫃塑膠,上櫃通信網路,興櫃食品工業,興櫃電腦及週邊設備業,興櫃運動休閒,興櫃通信網路業,興櫃文化創意業,興櫃綠能環保,興櫃生技醫療業,興櫃紡織纖維,興櫃半導體業,興櫃電子通路業,興櫃航運業,興櫃鋼鐵工業,興櫃其他電子業,興櫃金融業,興櫃農業科技業,興櫃數位雲端,興櫃化學工業,興櫃光電業,興櫃電機機械,興櫃電子零組件業,興櫃建材營造,興櫃資訊服務業,興櫃其他,興櫃觀光事業,興櫃居家生活,興櫃油電燃氣業,網通設備組件,工業電腦,電腦週邊配件,手機相關,其他零組件,LED,IC設計服務,被動元件,主機板,PC/NB/平板,軟體設計,電子設備買賣,電信服務,其他電子或零件,其他網通,其他電腦週邊,消費電子或電器,太陽能,PCB,電子連接相關,IC生產製造,電池或電源,遊戲軟體,光電設備,組裝代工,其他光電,安全監控,電子組件買賣,機殼,網站經營/電商,3C賣場,設備或廠務工程,系統整合,面板業,USBTypeC,十一長假概念股,日圓貶值,iPad Air,智慧衣,洗腎,離岸風電概念股,人民幣貶值,車用電子,AMOLED,水資源,不斷電限電,富櫃50,Fun暑假,胎壓偵測器,車用2.0,PS5,智慧城市,日圓升值,智慧音箱,工業4.0,Macbook供應鏈,矽晶圓,雙鏡頭,宅經濟,光棍節,機器人,運動休閒,Apple iTV,一帶一路,台幣貶值,臺灣上櫃永續指數,特選上櫃ESG龍頭報酬指數,TPEx FactSet半導體氣候淨零優選報酬指數,櫃買薪酬指數,特選上櫃ESG永續高股息報酬指數,TPEx FactSet氣候韌性指數,高殖利率指數,富櫃200成分股,特選上櫃ESG成長報酬指數,Quality 50指數,櫃買公司治理指數,TPEx FactSet半導體氣候韌性指數,櫃買就業88指數,上櫃ESG 30指數,櫃買半導體領航報酬指數,富櫃50成分股,
佳必琪6197,利勤4426,為升2231,東聯1710,王道銀乙特2897B,東和鋼鐵2006,宅配通2642,大山1615,,,,中工2515,愛爾達-創8487,承業醫4164,,地球1324,凌華6166,萬企2701,日勝化1735,,蔚華科3055,東元1504,建漢3062,精金3049,統一超2912,,柏騰3518,華懋5292,翔耀2438,大成1210,中視9928,華邦電2344,美食-KY2723,,柏文8462,,友鋮7718,鑫科3663,擎邦6122,順發6154,力旺3529,台蠟1742,崴寶7744,,萬達光電5220,威聯通7805,新華5481,,,特昇-KY6616,,,辣椒4946,,,仁大資訊7767,艾訊3088,寶得利5301,崑鼎6803,太景*-KY4157,坤悅5206,,前鼎4908,,佐茂7854,,,,三大未來7761,藥祇7878,,宇川精材7887,,,,旭誼7849,,,,,坦德科技6867,銓寶4575,格斯科技*6940,,捷智商訊6816,智寶7824,橘焱胡同2761,,,凱碩8059,融程電3416,泰金寶-DR9105,,泰碩3338,富采3714,富鼎8261,三集瑞-KY6862,,英業達2356,鼎恒6738,,,尖點8021,互動6486,建碁3046,,怡和國際7590,健鼎3044,幃翔6185,宇瞻8271,博大8109,,單井3490,,佳能2374,,長華*8070,,網家8044,,印能科技7734,虎門科技6791,友達2409,通嘉3588,潤泰全2915,明基材8215,可成2474,,東森2614,濾能6823,新麥1580,IKKA-KY2250,頎邦6147,基士德-KY6641,廣隆1537,精測6510,,,,茂達6138,奇偶3356,聚鼎6224,今國光6209,盛群6202,雙鴻3324,,,宅配通2642,東森2614,華碩2357,柏文8462,鴻海2317,長榮2603,鑽全1527,,,,信立4303,,鈊象3293,永信建5508,鈊象3293,,精測6510,岱稜3303,東捷8064,宜鼎5289,,,精測6510,
大毅2478,得力1464,倉佑1568,三晃1721,王道銀行2897,新鋼2032,志信2611,中電1611,,,,上曜1316,,晶碩6491,,再生-KY1337,全友2305,第一店2706,東聯1710,,豐藝6189,寶一8222,智易3596,旺宏2337,特力2908,,碩天3617,昶昕8438,華晶科3059,味全1201,中鼎9933,華東8110,材料*-KY4763,,美利達9914,,雄順2073,達航科技4577,福裕4513,昱捷3232,家登3680,永純4711,千如3236,,杭特3297,德鴻6910,晟田4541,,,振宇五金2947,,,霹靂8450,,,台灣銘板6593,宸曜6922,御嵿3522,惠民實業6971,優盛4121,永信建5508,,聯光通4903,,普達系統6599,,,,三地能源6946,宣捷幹細胞4724,,頌勝科技7768,,,,斯其大6648,,,,,景傳5248,華德動能2237,欣訊科技5254,,威睿8298,聖州7764,開展7789,,,創威6530,研揚6579,承啟2425,,州巧3543,億光2393,松翰5471,蜜望實8043,,神基3005,中華資安7765,,,盈正3628,現觀科6906,大眾控3701,,鈺德3050,台郡6269,睿信7893,眾智6819,海韻電6203,,昇銳3128,,能率5392,,豐藝6189,,富邦媒8454,,天正國際6654,邁達特6112,錸寶8104,嘉澤3533,遠百2903,健鼎3044,新日興3376,,第一金2892,東方風能7786,南六6504,貿聯-KY3665,聯詠3034,千附8383,全漢3015,信驊5274,,,,鴻海2317,華碩2357,茂迪6244,華碩2357,零壹3029,可成2474,,,嘉里大榮2608,第一金2892,金寶2312,桂盟5306,台積電2330,中電1611,亞崴1530,,,,宜鼎5289,,光洋科1785,中美晶5483,光洋科1785,,信驊5274,中美晶5483,德微3675,兆利3548,,,信驊5274,
嘉澤3533,力鵬1447,和大1536,上曜1316,國泰金乙特2882B,長榮鋼2211,嘉里大榮2608,艾美特-KY1626,,,,新美齊2442,,正瀚-創6534,,達新1315,樺漢6414,晶華2707,三晃1721,,弘憶股3312,樂事綠能1529,啟碁6285,志聖2467,阿瘦8443,,金寶2312,東方風能7786,吉祥全2491,台榮1220,卓越2496,創見2451,虹揚-KY6573,,中傑-KY6965,,大國鋼8415,銳澤7703,科際精密4568,巨虹8084,翔名8091,晶呈科技4768,金山電8042,,新鉅科3630,綠界科技*6763,斐成3313,,,來思達8066,,,網龍3083,,,大綜3147,泓格3577,亞洲藏壽司2754,保綠-KY8423,逸達6576,昇益5455,,及成3095,,,,,,佳運7783,竟天6917,,聖凰7880,,,,凱銳光電2255,,,,,云光3633,宏于電機7869,榮炭6555,,,怡和國際7590,豊漁7847,,,海華3694,台鋼建設3521,普安2495,,台翰1336,台亞2340,旺玖6233,勤凱4760,,神達3706,蒙恬5211,,,淳安6283,豪勉6218,,,茂迪6244,定穎投控3715,太空梭2440,千附精密6829,美琪瑪4721,,博磊3581,,邑錡7402,,茂綸6227,,關貿6183,,倍利科7822,實威8416,力特3051,偉詮電2436,老爺知5704,瑞智4532,譜瑞-KY4966,,宅配通2642,世紀鋼9958,同致3552,健和興3003,盟立2464,力麒5512,中興電1513,金居8358,,,,台積電2330,遠傳4904,今國光6209,遠傳4904,均豪5443,新日興3376,,,橘子6180,宅配通2642,均豪5443,百和興業-KY8404,聯發科2454,第一金2892,喬福1540,,,,精確3162,,大學光3218,茂綸6227,大學光3218,,金居8358,沛波6248,昇佳電子6732,精測6510,,,金居8358,
信邦3023,南紡1440,百達-KY2236,旭富4119,富邦特2881A,燁興2007,中航2612,三洋電1614,,,,聯上發2537,,藥華藥6446,,永裕1323,研揚6579,三商餐飲7705,國化1713,,安馳3528,氣立4555,正文4906,健策3653,三商家購2945,,鴻海2317,青新-創6951,正達3149,皇家可口7791,阜爾運通6914,鴻勁7769,TPK-KY3673,,桂盟5306,,恒耀甲特8349A,朋億*6613,百德4563,三顧3224,精測6510,,科嶠4542,,華宏8240,意藍6925,鉅邁8435,,,炎洲流通3171,,,得利影6144,,,實威8416,西勝3625,豆府2752,衛司特6894,訊聯基因4160,士開5324,,神準3558,,,,,,前端風電7702,欣耀6634,,益芯科7707,,,,為昇科2252,,,,,和詮6673,長亨4546,連鋐科技6755,,,利百景7578,,,,環天科3499,欣技6160,全友2305,,加高8182,同欣電6271,點晶3288,鈺鎧5228,,,淘米6428,,,無敵8201,振曜6143,,,德淵4720,嘉聯益6153,鎰勝6115,環宇-KY4991,迅德6292,,杭特3297,,,,增你強3028,,美而快5321,,皇將4744,松崗6240,明基材8215,鈺創5351,味全1201,和碩4938,大立光3008,,嘉里大榮2608,中興電1513,皇田9951,矽創8016,帆宣6196,幸福1108,科風3043,良維6290,,,,鴻準2354,廣積8050,錩泰1541,瑞昱2379,廣積8050,譜瑞-KY4966,,,創業家8477,嘉里大榮2608,廣積8050,鉅明8928,台表科6278,樺漢6414,皇田9951,,,,印能科技7734,,新應材4749,漢科3402,新應材4749,,雙鴻3324,漢來美食1268,信驊5274,北基8927,,,良維6290,
康舒6282,聚陽1477,裕隆2201,和康生1783,上海商銀5876,威致2028,裕民2606,大東電1623,,,,皇昌2543,,台新藥6838,,國喬特1312A,神達3706,夏都2722,毛寶1732,,陞泰8072,富田-創4590,兆勁2444,智邦2345,永邑-KY2939,,固緯2423,台境*8476,大立光3008,宏亞1236,八貫1342,菱生2369,錼創科技-KY創6854,,世界健身-KY2762,,有益9962,友威科3580,桓達4549,志旭8067,萬潤6187,,詠昇6418,,久正6167,尚凡*5278,森鉅8942,,,全家5903,,,宇峻3546,,,倍力6874,旭品3325,金色三麥7757,萬年清6624,易威1799,全心投控2718,,智捷8176,,,,,,金聯成7865,思捷優達-KY7829,,一元素6842,,,,,,,,,勝釩6979,日高1594,睿騰能源7758,,,群利7558,,,,萊德光電-KY7717,廣錠6441,森田8410,,新至陞3679,南良5450,矽創8016,光頡3624,,,德鴻6910,,,旭隼6409,,,,太極4934,競國6108,鴻呈6913,漢磊3707,耀勝3207,,慧友5484,,,,尚立3360,,騰雲6870,,華洋精機6983,華芸科技7801,瑞儀6176,,藍天2362,南電8046,美律2439,,創業家8477,潤泰材8463,百和9938,晶技3042,至上8112,國統8936,台汽電8926,中美晶5483,,,,台達電2308,瑞昱2379,醣聯4168,驊訊6237,高僑6234,祥碩5269,,,原相3227,創業家8477,高僑6234,明係6804,鈺創5351,中租-KY5871,春雨2012,,,,亞昕5213,,昱展新藥6785,欣銓3264,昱展新藥6785,,欣銓3264,欣銓3264,均豪5443,艾訊3088,,,中美晶5483,
聯茂6213,福懋1434,巨鎧精密-創2254,華廣4737,高雄銀甲特2836A,千興2025,台灣高鐵2633,,,,,欣陸3703,,國光生4142,,中石化1314,英業達2356,華園2702,和益1709,,精技2414,大同2371,宏達電2498,誠美材4960,台南-KY5906,,興能高6558,中聯資源9930,友達2409,福壽1219,康那香9919,矽力*-KY6415,中傑-KY6965,,鈺齊-KY9802,,金耘國際4950,耕興6146,精確3162,,旺矽6223,,汎瑋材料6967,,廣運6125,創業家8477,南良5450,,,集雅社2937,,,華研8446,,,全景軟體8272,振發5426,老爺知5704,,國邑*6875,力泰5520,,創威6530,,,,,,微電能源6883,善德生技4115,,漢測7856,,,,,,,,,龍翩5267,益材科技7879,太康精密6833,,,鑫囍創業7748,,,,隴華2424,樺漢6414,麗臺2465,,崧騰3484,弘凱5244,昇佳電子6732,佳邦6284,,,勤崴國際6516,,,啟發電6512,,,,強茂2481,榮科4989,矽瑪3511,精測6510,龍鋒3226,,晶睿3454,,,,全達8068,,美賣*6473,,建暐8092,神州-DR910861,嘉彰4942,,雅茗-KY2726,今國光6209,順達3211,,原相3227,台船2208,胡連6279,尼克森3317,擎亞8096,惠光6508,東元1504,雙鴻3324,,,,光寶科2301,晶達4995,緯創3231,宏碁2353,中磊5388,順達3211,,,宏碁2353,原相3227,研揚6579,銘旺實4432,,信大1109,為升2231,,,,昇佳電子6732,,建榮5340,臺慶科3357,建榮5340,,譜瑞-KY4966,臺慶科3357,巨有科技8227,91APP*-KY6741,,,雙鴻3324,
偉訓3032,聯發1459,怡利電2497,國化1713,聯邦銀甲特2838A,允強2034,慧洋-KY2637,,,,,名軒1442,,北極星藥業-KY6550,,台達化1309,飛捷6206,遠雄來2712,三福化4755,,全國電6281,喬福1540,達運光電8045,至上8112,農林2913,,鴻準2354,成信實業*-創6969,亞光3019,味王1203,潤泰材8463,華泰2329,世芯-KY3661,,來億-KY6890,,唐榮2035,同致3552,易發6425,,點序6485,,群翊6664,,雷笛克光學5230,數字5287,太普高3284,,,中美實4702,,,隆中6542,,,力新5202,欣技6160,劍湖山5701,,共信-KY6617,森寶3489,,其陽3564,,,,,,立盈7820,華宇藥6621,,政美應用7853,,,,,,,,,百辰3659,泓辰3616,,,,碳基7719,,,,星通3025,拍檔3097,科嘉-KY5215,,雙鴻3324,宏齊6168,信驊5274,日電貿3090,,,台灣銘板6593,,,震旦行2373,,,,中美晶5483,鉅橡8074,禾昌6158,德微3675,順達3211,,天鉞電5251,,,,昱捷3232,,夠麻吉8472,,暉盛-創7730,碩網7547,先益3531,,統一1216,華碩2357,新普6121,,中菲行5609,大詠城4538,為升2231,南電8046,敦泰3545,臺鹽1737,台達電2308,欣銓3264,,,,群聯8299,融程電3416,建暐8092,美律2439,實威8416,維熹3501,,,敦陽科2480,中菲行5609,欣技6160,百和9938,,博大8109,聯電2303,,,,合一4743,,台半5425,緯軟4953,台半5425,,原相3227,緯軟4953,中美晶5483,立端6245,,,欣銓3264,
三集瑞-KY6862,如興4414,鴻華先進-創2258,麗豐-KY4137,富邦金乙特2881B,春雨2012,中櫃2613,,,,,日勝生2547,,台耀4746,,華夏1305,銘異3060,,元禎1725,,展碁國際6776,東台4526,鋐寶科技6674,宇瞻8271,日成-KY4807,,昇貿3305,寶綠特-KY6887,佰鴻3031,統一1216,威宏-KY8442,京元電子2449,動力-KY6591,,,,強新5013,宜特3289,瑞穎8083,,長科*6548,,優群3217,,昇銳3128,大車隊2640,信實6721,,,弘帆8433,,,鈊象3293,,,虎門科技6791,濱川1569,南仁湖5905,,杏國4192,皇龍3512,,德晉3466,,,,,,寶晶能源*6987,微邦3184,,聯合聚晶6927,,,,,,,,,穎台科技6775,,,,,台灣積層8999,,,,中磊5388,安勤3479,廣明6188,,勝德3296,星亞7753,尼克森3317,九豪6127,,,諾亞克7724,,,同致3552,,,,永光1711,南電8046,太康精密6833,丹立7866,中碳1723,,辛耘3583,,,,利機3444,,ACpay6984,,創新服務7828,驊宏資6148,凌巨8105,,潤泰新9945,緯創3231,聯詠3034,,全家5903,陸海5603,儒鴻1476,今國光6209,,鉅邁8435,大亞1609,譜瑞-KY4966,,,,群電6412,中磊5388,強茂2481,瑞軒2489,樺漢6414,新普6121,,,技嘉2376,全家5903,鑫創3259,世界健身-KY2762,,正新2105,儒鴻1476,,,,中天4128,,旺矽6223,威剛3260,旺矽6223,,波若威3163,威剛3260,由田3455,茂迪6244,,,譜瑞-KY4966,
健鼎3044,偉全1465,東陽1319,毛寶1732,國泰特2882A,豐興2015,新興2605,,,,,潤弘2597,,旭富4119,,台聚1304,奇鋐3017,,和桐1714,,至上甲特8112A,力山1515,兆赫2485,一詮2486,,,和椿6215,基士德-KY6641,憶聲3024,天仁1233,龍邦2514,辛耘3583,茂林-KY4935,,,,,港建*3093,捷流閥業4580,,太欣5302,,九豪6127,,迎輝3523,昕奇雲端7747,花王8906,,,關中8941,,,橘子6180,,,三竹8284,富驊5465,皇家美食4419,,長聖6712,惠普8424,,亞元6109,,,,,,世紀樺欣7752,世基生醫7595,,新特7815,,,,,,,,,,,,,,凡事康7443,,,,聯寶6821,事欣科4916,順達3211,,業強6124,同方友友-DR911868,瑞鼎3592,鈺邦6449,,,威睿8298,,,德晉3466,,,,盈正3628,邑昇5291,建舜電3322,漢測7856,全漢3015,,易發6425,,,,崇越5434,,歐付寶6878,,漢科3402,資拓宏宇6614,矽創8016,,淘帝-KY2929,車王電1533,廣達2382,,智冠5478,中鼎9933,聯茂6213,久元6261,,中宇1535,系統電5309,威剛3260,,,,欣興3037,欣技6160,立隆電2472,光鼎6226,永彰4523,聯詠3034,,,中菲行5609,智冠5478,樺漢6414,儒鴻1476,,長榮航2618,廣越4438,,,,信驊5274,,浩鼎4174,橘子6180,浩鼎4174,,寶雅5904,宏捷科8086,欣銓3264,友輝4933,,,威剛3260,
聯穎3550,新紡1419,六方科-KY4569,五鼎1733,凱基金乙特2883B,中鋼構2013,榮運2607,,,,,富華新3056,,和康生1783,,亞聚1308,晟銘電3013,,展宇1776,,燦坤2430,豐祥-KY5288,訊舟3047,光罩2338,,,旭暉應材6698,雲豹能源6869,銘旺科2429,黑松1234,南六6504,嘉雨思-創6921,中租-KY5871,,,,,進泰電子3465,富強鑫6603,,力領科技6996,,高技5439,,安可3615,偉康科技6865,龍巖5530,,,光速火箭7782,,,寬魚國際6101,,,訊達6140,安勤3479,亞都5703,,威力德生醫7713,綠意2596,,普萊德6263,,,,,,華鉬6990,博錸6572,,英柏得7843,,,,,,,,,,,,,,溢泰實業7818,,,,正文4906,攸泰科技6928,營邦3693,,可成2474,翔耀2438,精拓科4951,信昌電6173,,,,,,互盛電2433,,,,中電1611,金居8358,鴻名3021,新特7815,新普6121,,廣運6125,,,,亞矽6113,,,,聯策6658,精誠6214,富晶通3623,,創業家8477,中美晶5483,鴻海2317,,玉山金2884,台汽電8926,鴻海2317,華碩2357,,崇越5434,華城1519,宏捷科8086,,,,,正文4906,加高8182,百和興業-KY8404,精誠6214,創惟6104,,,網龍3083,玉山金2884,永彰4523,廣越4438,,彰銀2801,聚陽1477,,,,是方6561,,系微6231,凌陽創新5236,系微6231,,漢達6620,橘子6180,譜瑞-KY4966,久元6261,,,宏捷科8086,
川湖2059,大宇1445,昭輝1339,和益1709,兆豐金2886,佳大2033,長榮2603,,,,,華固2548,,華廣4737,,聯成1313,映泰2399,,興農1712,,,瑞智4532,友勁6142,南茂8150,,,無敵8201,泓德能源6873,力特3051,聯華食1231,大華9905,威鋒電子6756,北極星藥業-KY6550,,,,,勤凱4760,和勤1586,,台半5425,,立敦6175,,高僑6234,東聯互動7738,白紗科8401,,,,,,誠品生活2926,,,嘉實3158,新普6121,富野2736,,中天4128,久舜5547,,正基6546,,,,,,聚恆4582,景凱6549,,映智6563,,,,,,,,,,,,,,,,,,智易3596,磐儀3594,達方8163,,動力-KY6591,光鼎6226,盛群6202,國巨*2327,,,,,,連宇2482,,,,華旭先進6682,博智8155,維熹3501,立衛5344,百徽6259,,陞泰8072,,,,安馳3528,,,,明遠精密7704,緯軟4953,和詮6673,,新天地8940,長華*8070,鴻準2354,,廣達2382,華新1605,聚陽1477,盛群6202,,中鼎9933,,原相3227,,,,,樺漢6414,泰金寶-DR9105,廣達2382,聯傑3094,廣達2382,,,數字5287,廣達2382,威剛3260,台南1473,,亞泥1102,台積電2330,,,,尚凡*5278,,智通*8932,安勤3479,智通*8932,,頎邦6147,原相3227,宏捷科8086,恒耀8349,,,原相3227,
天二科技6834,廣越4438,宏旭-KY2243,杏輝1734,台新新光庚特二2887H,美亞2020,亞航2630,,,,,太子2511,,華安6657,,,藍天2362,,中纖1718,,,恩德1528,盛達3027,台光電2383,,,盟立2464,森崴能源6806,國碩2406,興泰1235,廣豐1416,穎崴6515,光隆精密-KY4581,,,,,盈正3628,昶瑞機電7642,,德微3675,,胡連6279,,茂迪6244,博弘6997,合騏8937,,,,,,鑫傳6856,,,蒙恬5211,維田6570,燦星旅2719,,威健生技6661,安倉5548,,華電網6163,,,,,,台鎔科技6947,尖端醫4186,,鋒魁科技7530,,,,,,,,,,,,,,,,,,詠業6792,宸曜6922,新普6121,,佳穎3310,華興6164,億而得6423,金山電8042,,,,,,閎康3587,,,,錸德2349,亞電4939,欣訊科技5254,虹揚-KY6573,AES-KY6781,,冠西電2466,,,,敦吉2459,,,,矽科宏晟6725,國眾5410,友輝4933,,震旦行2373,可成2474,瀚荃8103,,網家8044,雲豹能源6869,毅嘉2402,同欣電6271,,雲豹能源6869,,波若威3163,,,,,智易3596,鑫創3259,東科-KY5225,東台4526,優群3217,,,宇峻3546,網家8044,原相3227,宏遠1460,,力達-KY4552,美利達9914,,,,均豪5443,,弘塑3131,原相3227,弘塑3131,,廣明6188,全心投控2718,凌陽創新5236,博智8155,,,波若威3163,
新巨2420,年興1451,車王電1533,三福化4755,第一保2852,大成鋼2027,四維航5608,,,,,宏普2536,,麗豐-KY4137,,,振樺電8114,,花仙子1730,,,羅昇8374,展達3447,帆宣6196,,,云辰2390,富威電力6994,,立萬利3054,福貞-KY8411,盛群6202,百達-KY2236,,,,,大拓-KY8455,高鋒4510,,家碩6953,,僑威3078,,勝品6556,美而快5321,光隆8916,,,,,,大宇資6111,,,普鴻6590,曜越3540,漢來美食1268,,長佳智能6841,大城地產6171,,凱碩8059,,,,,,禾迅綠電7897,醣基6586,,耀穎7772,,,,,,,,,,,,,,,,,,居易6216,新漢8234,樺緯物聯7455,,新日興3376,湯石照明4972,巨有科技8227,立敦6175,,,,,,光群雷2461,,,,統懋2434,宇環3276,驊陞6272,台亞2340,飛宏2457,,群翊6664,,,,威健3033,,,,川寶1595,三商電2427,華凌6916,,大洋-KY5907,欣銓3264,華通2313,,富邦媒8454,東元1504,閎暉3311,緯創3231,,旭然4556,,寶雅5904,,,,,啟碁6285,晟田4541,英業達2356,桂盟5306,鴻海2317,,,智冠5478,富邦媒8454,宏碁2353,聚陽1477,,中菲行5609,國巨*2327,,,,良維6290,,千附精密6829,寶雅5904,千附精密6829,,順達3211,寶雅5904,原相3227,均豪5443,,,寶雅5904,
建準2421,利華1423,IKKA-KY2250,元禎1725,台新新光庚特一2887G,官田鋼2017,萬海2615,,,,,欣巴巴9906,,向榮生技6794,,,華碩2357,,永記1726,,,中宇1535,譁裕3419,文曄3036,,,連宇2482,,,福懋油1225,jpp-KY5284,昇陽半導體8028,裕慶-KY6957,,,,,西柏3541,榮田7709,,群聯8299,,鴻呈6913,,富晶通3623,,大地-KY8437,,,,,,樂意7584,,,松崗6240,茂訊3213,雅茗-KY2726,,大江8436,豐謙5523,,常珵8097,,,,,,德揚7846,朗齊生醫*6876,,登豐7872,,,,,,,,,,,,,,,,,,啟碁6285,倫飛2364,科誠4987,,佐臻4980,麗清3346,瑞昱2379,鈞寶6155,,,,,,進泰電子3465,,,,亞力1514,晟鈦3229,建通2460,瑞耘6532,保銳8093,,旭東4537,,,,好德3114,,,,宇辰系統7813,天剛5310,全台3038,,安心1259,鑽全1527,台表科6278,,美而快5321,合騏8937,鉅祥2476,瑞昱2379,,華懋5292,,頎邦6147,,,,,三商電2427,普安2495,中華電2412,廣明6188,濱川1569,,,廣達2382,美而快5321,裕隆2201,鈺齊-KY9802,,兆豐金2886,和大1536,,,,永信建5508,,信立4303,頎邦6147,信立4303,,新普6121,頎邦6147,合晶6182,岱稜3303,,,頎邦6147,
日電貿3090,弘裕1474,廣華-KY1338,和桐1714,台新新光辛特2887I,三星5007,陽明2609,,,,,華友聯1436,,康霈*6919,,,光寶科2301,,中碳1723,,,高林股1531,神腦2450,欣興3037,,,美隆電2477,,,,百和9938,晶心科6533,淘帝-KY2929,,,,,橙的4554,皇田9951,,廣穎4973,,富喬1815,,久禾光6498,,冠好8354,,,,,,泰偉3064,,,大塚3570,東碩3272,力麗店5364,,馬光-KY4139,台鋼建設3521,,是方6561,,,,,,環拓科技7507,台睿6580,,智微4925,,,,,,,,,,,,,,,,,,波若威3163,AMAX-KY6933,寶德3349,,協益5356,一詮2486,驊訊6237,天二科技6834,,,,,,富致6642,,,,進能服6692,志超8213,胡連6279,創見2451,環科2413,,惠特6706,,,,華立3010,,,,龍翩5267,寶碩5210,TPK-KY3673,,夏都2722,正新2105,康舒6282,,台驊控股2636,台達電2308,台達電2308,車王電1533,,裕山7715,,廣明6188,,,,,華電網6163,力山1515,矽力*-KY6415,桓達4549,宣德5457,,,網家8044,台驊控股2636,凌陽2401,美利達9914,,永豐金2890,程泰1583,,,,中美晶5483,,宜鼎5289,台星科3265,宜鼎5289,,東洋4105,大國鋼8415,IET-KY4971,中美晶5483,,,廣明6188,
環科2413,南染1410,虎山7736,神隆1789,三商壽2867,中鋼2002,台灣虎航6757,,,,,新建2516,,五鼎1733,,,仁寶2324,,台肥1722,,,錩泰1541,中磊5388,義隆2458,,,所羅門2359,,,,潤泰新9945,十銓4967,冠星-KY4439,,,,,精星8183,駿吉-KY1591,,漢磊3707,,松上6156,,保勝光學6517,,益張8342,,,,,,,,,中菲5403,全譜6228,瓦城2729,,商之器8409,理銘6212,,榮群8034,,,,,,,晶鑽生醫6815,,科建7886,,,,,,,,,,,,,,,,,,盛達3027,精聯3652,同亨5490,,皇龍3512,全新2455,揚智3041,千如3236,,,,,,科風3043,,,,達能3686,霖宏5464,良得電2462,同欣電6271,聚和6509,,,,,,倍微6270,,,,廣化5297,晉泰6221,晶達4995,,六福2705,長榮航2618,臻鼎-KY4958,,聚陽1477,永崴投控3712,巨大9921,錼創科技-KY創6854,,萬年清6624,,順達3211,,,,,安勤3479,鑽全1527,鴻海2317,新漢8234,華通2313,,,華義3086,聚陽1477,廣明6188,岱宇1598,,春雨2012,巨大9921,,,,茂綸6227,,兆利3548,廣明6188,兆利3548,,大江8436,生泰1777,宏碩系統6895,由田3455,,,順達3211,
富世達6805,宏益1452,巧新1563,雃博4106,合庫金5880,燁輝2023,,,,,,櫻花建2539,,邦睿生技-創6955,,,宏碁2353,,東鹼1708,,,穎漢4562,中華電2412,華立3010,,,安普新6743,,,,政伸8481,茂矽2342,光麗-KY6431,,,,,三聯5493,崇友4506,,宏觀6568,,信昌電6173,,單井3490,,潤德6881,,,,,,,,,上奇6123,聰泰5474,宏易4530,,大學光3218,瑞築6198,,互動6486,,,,,,,博研醫藥7891,,慶康科技8098,,,,,,,,,,,,,,,,,,智通聯網3473,緯穎6669,群光2385,,谷崧3607,艾笛森3591,創意3443,興勤2428,,,,,,輝創6722,,,,茂矽2342,育富6194,松普5488,均豪5443,首利1471,,,,,,堡達3537,,,,亞泰金屬6727,敦陽科2480,久正6167,,長榮航2618,中華2204,明安8938,,志信2611,信邦3023,劍麟2228,立隆電2472,,,,新普6121,,,,,宏碁2353,大立光3008,台積電2330,精聯3652,台表科6278,,,富邦媒8454,志信2611,新漢8234,巨大9921,,南亞1303,劍麟2228,,,,雙鴻3324,,精確3162,順達3211,精確3162,,茂達6138,全家5903,頎邦6147,漢科3402,,,新普6121,
